speech_id	line_id	sentence_id	sentence_text	anger_score
S027	0	0	You made tremendous sacrifices.	0.6728067994117737
S027	0	1	Training through injuries, birthdays, vacations, and even a pandemic.	0.7059975266456604
S027	0	2	You know, all of you, what it means to commit and to persevere.	0.6696110367774963
S027	0	3	And we know that so often during the course of a long season, sports teams also become a family.	0.6783840656280518
S027	0	4	You develop lifelong relationships.	0.6653110384941101
S027	0	5	You demonstrate teamwork and character.	0.674564778804779
S027	0	6	You make the people around you better in every way.	0.7138684988021851
S027	0	7	You are leaders.	0.6655289530754089
S027	0	8	You are role models, and of course you are champions.	0.6884371638298035
S027	0	9	And college sports in particular have a special way, a very special way, of bringing people together, connecting us to our home states and our colleges, connecting us to family traditions, friends and fellow fans, connecting us to something bigger.	0.6911577582359314
S027	0	10	When you take the court, you inspire so many across our country, people you may never meet.	0.681679368019104
S027	0	11	Not only because of how you play, but because of who each of you is.	0.6827061772346497
S027	0	12	Every day you remind all of us of what we can achieve when we work hard and strive with ambition.	0.6907787322998047
S027	0	13	Some of you may end up playing professionally.	0.6753004193305969
S027	1	0	Some of you may end up representing our country in the Olympics, in world championships and in World Cups, but all of you represent the best of our country and our communities no matter what you do next.	0.672126829624176
S027	1	1	That is why President Biden and I are so optimistic about the future of our country and our world, because of you, because of each of you.	0.6899207830429077
S027	1	2	You remind us that we are truly stronger together, that our nation is strong when we stand together, understanding what we have in common.	0.6965457797050476
S027	1	3	You are the ones that people who come from every corner of our nation, representing every background look at, because we know when we see you, we are at our best when we work together as one team.	0.6889933347702026
S027	1	4	So again, congratulations to you all and to all of the people here who made your journey possible, to your family who supported you, to your coaches who taught and trained you, and to your friends who always have your back.	0.685363233089447
S027	1	5	Thank you all.	0.676295280456543
S027	2	0	Now it is my honor to turn things over to one of our incredible student athletes, Logan.	0.6883729696273804
S027	2	1	Logan, you are a star on the court, Division One National Volleyball Player of the Year.	0.6860898733139038
S027	2	2	You are a star in the classroom as an academic all-American.	0.6815427541732788
S027	2	3	You are a leader on issues like racial justice and you are a community leader, and now you are a national champion with your Texas Longhorn teammates.	0.683528482913971
S027	2	4	We are so proud of you.	0.6999414563179016
S027	2	5	Thank you, Logan.	0.674193799495697
