line_id	line_text	speech_id	anger_score
0	Hey, everyone. Can we hear it for Eric Price?	S030	0.6799388527870178
1	Oh, it’s good to be back in Michigan. Thank you all so very much. Thank you. Thank you so very much.	S030	0.7273635864257812
2	And, Eric Price, thank you for your leadership of UAW 651, and all the work that you do. And I want to thank all the leaders who are here. This is … I mean, this is, we’ve got thousands of leaders who are here, and I thank them, including all our friends in labor: Shawn Fain, April Verrett; all of the incredible elected leaders, starting with the Governor Whitmer, who is amazing and is my friend, my dear friend; Mayor Neeley; Senator Stabenow; Senator Peters; Representative Slotkin, who we will elect to the United States Senate.	S030	0.6967450380325317
3	And did you all see Magic Johnson? Remember his number: 32? Today we got 32 days until the election.	S030	0.6733261942863464
4	So, 32 days, 32 days.	S030	0.6624428629875183
5	Okay. We got some business to do. We got some business to do.	S030	0.6801989674568176
6	All right. 32 days. And we know we will do it. And this is going to be a very tight race until the very end. This is going to be a very tight race until the very end. We are the underdog, and we know we have some hard work ahead. But here’s the thing about us: We like hard work. We like hard work. Hard work is good work. Hard work is good work.	S030	0.6941295862197876
7	And with your help, in November, we will win. We will win. We are not playing around.	S030	0.6867644786834717
8	So, listen, we know this election is about two very different visions for our nation: one focused on the past, and ours, which is focused on the future. We are fighting for a future where we tap into the ambitions and the aspirations of the American people and build what I call an opportunity economy so every American has an opportunity to own a home, build wealth, start a business.	S030	0.6746655106544495
9	And I’m going to speak about small … Do we have small-business owners in the house right here? Right? Okay. So, on the economy, I’m just going to spend a minute on small businesses. Because let me tell you. So, growing up, our mother often worked very long hours, and so my sister, Maya, and I, we would go over to Ms. Shelton’s house. Ms. Shelton was from Louisiana, and we called her our second mother. And Ms. Shelton was a small-business owner.	S030	0.6849393248558044
10	So, from being a child, I know who our small-business owners are. They are community leaders, civic leaders. They mentor. They hire locally. They build up the community. They are part of the fabric of the community. And small-business owners are the backbone of America’s economy.	S030	0.6957572102546692
11	So, in my plan to build an opportunity economy, one of the things I will do is raise the start-up deduction from $5,000 to $50,000 to help entrepreneurs start their small business.	S030	0.6860795021057129
12	You heard Eric talk about it. We need to build more housing in America. You know, my mother saved up for years to buy our first home. I was a teenager by the time she saved up enough to do that. And right now, we know there’s a serious housing shortage in our country, and it is part of what is driving up costs.	S030	0.685725748538971
13	So, we will cut the red tape and work with the private sector to build 3 million new homes and provide first-time homebuyers with a $25,000 down payment assistance so you can just literally get your foot in the door, and you’ll handle the rest.	S030	0.6868614554405212
14	We need to lower the cost of living. Look, our economy is making good progress. Just this morning, we got a solid jobs report, right? Over 250,000 jobs created last month; unemployment fell; and just a few weeks ago, the Federal Reserve cut interest rates, which helps.	S030	0.7013241648674011
15	But there’s still more we need to do. Prices for everyday things like groceries are still too high. You know it and I know it. And I have a plan on lowering costs on everything from health care to groceries, including taking on corporate price gouging.	S030	0.6826754212379456
16	‘Cause as attorney general, I saw what happens where there are few of them; not everybody but those who take advantage of desperate people, in particular in the middle of an emergency, and there needs to be consequence.	S030	0.6939509510993958
17	I will give a tax cut to 100 million Americans, including $6,000 extending and expanding the Child Tax Credit, so during the first year of a child’s life young parents have the support they need to be able to buy a car seat, to buy a crib, to take care of their child during that first year of their life, knowing it’s about setting them on a path to do everything they have a natural desire to do.	S030	0.6946256756782532
18	And, look, let me, I say all this to say: I will always put the middle class and working families first. I come from the middle class, and I will never forget where I come from. I will never forget where I come from.	S030	0.6964909434318542
19	And we know we cannot have a strong middle class without American manufacturing. So, over the last three and a half years, we have brought manufacturing back to America, creating 730,000 manufacturing jobs. We announced the opening of more than 20 new auto plants in the United States. And we did it by investing in American industry and American workers.	S030	0.6826329827308655
20	And I will make sure that America, not China, wins the competition for the 21st century, which is why, under my plan, we will invest in the industries that built America, like steel, iron, and the great American auto industry. I see you, Shawn.	S030	0.6621286273002625
21	And we will ensure that the next generation of breakthroughs, from advanced batteries to electric vehicles, are not only invented but built right here in America by American union workers.	S030	0.6763705015182495
22	And, Michigan, let us be clear: Contrary to what my opponent is suggesting, I will never tell you what kind of car you have to drive. But here’s what I will do. I will invest in communities like Flint, which helped build the auto industry and the UAW.	S030	0.676000714302063
23	We will retool existing factories, hire locally, and work with unions to create good-paying jobs, including jobs that do not require a college degree, because we understand a college degree is not the only measure of whether a worker has skills and experience to get the job done.	S030	0.693824291229248
24	In fact, part of my plan is to outline all of the federal jobs that should not require a college degree and make that clear. And when I’m elected, I’m going to challenge the private sector to take on the same approach.	S030	0.6714078187942505
25	And then there’s Donald Trump.	S030	0.6707488894462585
